City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Hardy,75,CA,1568603122,93,50.7,-127.42,55.4,2.24
Sao Raimundo das Mangabeiras,0,BR,1568603123,40,-7.02,-45.48,76.01,3.04
Ballina,100,IE,1568603123,96,54.11,-9.15,54.0,9.66
Skala,0,GR,1568603123,43,36.85,22.66,75.0,4.7
Ust-Kut,100,RU,1568603123,90,56.78,105.75,31.19,8.39
Kalabo,88,ZM,1568603124,27,-15.0,22.67,66.65,7.72
Cacapava do Sul,0,BR,1568603124,94,-30.51,-53.49,68.45,3.49
Te Anau,82,NZ,1568603124,83,-45.41,167.72,41.63,8.39
Kiama,90,AU,1568603124,67,-34.67,150.86,66.99,20.8
Big Bend,98,SZ,1568603124,95,-26.79,31.94,62.69,2.1
Benalla,90,AU,1568603125,87,-36.55,145.99,53.01,11.41
Minden,1,US,1568603125,78,40.5,-98.95,75.99,4.7
Houma,23,CN,1568603125,63,35.63,111.36,68.81,2.98
Bereda,0,ES,1568603125,93,43.27,-7.54,64.99,1.12
Monte Aprazivel,0,BR,1568602851,28,-20.77,-49.71,84.2,3.36
Shawnee,1,US,1568602981,78,35.33,-96.93,82.0,3.36
Chernyshevskiy,100,RU,1568603126,88,63.01,112.47,34.07,7.0
Hambantota,90,LK,1568603126,100,6.12,81.12,75.2,3.36
Niquero,98,CU,1568603126,71,20.04,-77.58,86.81,7.9
Nelson Bay,0,AU,1568603126,8,-32.72,152.14,87.8,17.22
Kerchevskiy,0,RU,1568603127,91,59.95,56.29,40.55,7.52
Golden,1,US,1568603107,33,39.76,-105.22,77.0,3.36
Mackenzie,90,CA,1568603127,76,55.34,-123.09,51.8,5.82
Tongren,97,CN,1568603127,78,27.72,109.18,71.51,3.09
Acajutla,100,SV,1568603121,71,13.59,-89.83,84.65,6.22
Luganville,75,VU,1568603127,65,-15.51,167.18,78.8,13.87
Richards Bay,91,ZA,1568603128,85,-28.77,32.06,69.35,18.03
Matay,0,EG,1568603128,83,28.42,30.79,68.63,7.49
Inverness,58,GB,1568603128,87,57.48,-4.23,50.0,9.17
Heihe,0,RU,1568603128,24,50.24,127.51,55.4,15.66
Kaolinovo,36,BG,1568603129,82,43.62,27.12,53.01,1.01
San Quintin,71,PH,1568603129,73,17.54,120.52,84.11,5.66
Sambava,8,MG,1568603129,95,-14.27,50.17,62.51,3.18
La Romana,40,DO,1568603129,100,18.43,-68.97,84.2,7.23
Gevrai,99,IN,1568603129,87,19.27,75.75,74.75,11.9
Sabha,0,LY,1568603130,45,27.03,14.43,67.73,11.03
Dawei,0,MM,1568603130,81,14.07,98.19,79.43,2.44
Chapais,90,CA,1568603130,100,49.78,-74.86,48.2,6.93
Varzea Grande,0,BR,1568603130,94,-29.42,-50.86,81.0,4.7
Jawhar,76,IN,1568603130,90,19.91,73.23,78.53,4.65
Zamora,43,ES,1568603131,93,41.51,-5.74,52.0,1.12
Faya,0,SA,1568603131,22,18.39,42.45,64.4,0.89
Inhambane,24,MZ,1568603131,97,-23.87,35.38,65.21,3.49
Excelsior Springs,1,US,1568603131,83,39.34,-94.23,82.99,4.7
Altamira,0,BR,1568603131,90,-3.2,-52.21,72.95,2.04
Antofagasta,90,CL,1568603132,76,-23.65,-70.4,57.2,13.87
Beloha,68,MG,1568603132,74,-25.17,45.06,63.77,5.53
Avesta,95,SE,1568603132,66,60.15,16.18,51.8,14.99
Tonantins,89,BR,1568603132,96,-2.86,-67.77,73.67,3.18
Sept-Iles,75,CA,1568603133,93,50.2,-66.38,53.01,2.24
Dalvik,0,SE,1568603133,81,57.79,14.13,51.01,17.22
LOS ALGARROBOS,75,EC,1568603133,78,-3.25,-79.94,89.6,3.36
Springfield,20,US,1568602970,93,42.1,-72.59,64.4,3.38
Acapulco,75,MX,1568603133,74,16.86,-99.88,84.2,9.17
Winnemucca,1,US,1568603134,12,40.97,-117.74,77.0,12.75
Pilar,0,AR,1568603134,67,-34.46,-58.91,59.0,17.22
Mangan,100,IN,1568603134,97,27.5,88.54,58.37,1.7
Manggar,97,ID,1568603134,63,-2.88,108.27,83.75,8.41
Lima,90,PE,1568603038,87,-12.06,-77.04,60.8,12.75
Dubovskoye,0,RU,1568603135,52,47.41,42.76,50.99,6.26
Imbituba,75,BR,1568602880,94,-28.24,-48.67,68.0,14.99
Sakaiminato,40,JP,1568603135,65,35.55,133.23,80.6,11.41
Campoverde,20,EC,1568603135,81,-0.91,-78.62,48.2,9.17
Ketchikan,1,US,1568603136,82,55.34,-131.65,57.2,5.82
Sao Joao da Barra,26,BR,1568603136,95,-21.64,-41.05,67.91,3.42
Bima,0,ID,1568603136,37,-8.45,118.73,88.97,8.48
Camacupa,79,AO,1568603136,85,-12.02,17.48,59.45,7.47
Sistranda,75,NO,1568603137,87,63.73,8.83,54.0,25.28
Kokopo,80,PG,1568603137,81,-4.34,152.27,81.59,1.28
Lagoa,0,PT,1568603137,68,37.14,-8.45,69.8,5.82
Santo Antonio do Ica,89,BR,1568603137,96,-3.1,-67.94,73.67,3.18
Gat,20,SN,1568603137,88,14.69,-16.54,80.6,3.36
Sarangani,46,PH,1568603138,77,5.4,125.46,81.41,11.86
Noumea,20,NC,1568603052,57,-22.28,166.46,75.2,16.11
Dakoro,0,NE,1568603138,59,14.51,6.76,81.23,5.35
General Roca,0,AR,1568603050,39,-39.03,-67.58,48.2,14.99
Saryozek,100,KZ,1568603138,54,44.36,77.98,57.47,3.8
San Jose,78,HN,1568603139,98,14.25,-87.96,64.67,1.59
Vrangel,0,RU,1568603139,39,42.73,133.08,72.95,5.06
Gondanglegi,31,ID,1568602544,42,-7.75,112.01,88.61,3.78
Gorontalo,0,ID,1568603139,61,0.54,123.06,83.39,11.43
Belaya Gora,93,RU,1568603140,70,68.54,146.19,49.91,4.23
Tazovskiy,100,RU,1568602939,91,67.47,78.7,33.35,23.85
Manado,20,ID,1568602913,38,1.49,124.85,91.4,12.75
Luanda,75,AO,1568602886,88,-8.83,13.24,71.6,9.17
Bloemfontein,0,ZA,1568603140,56,-29.12,26.22,44.6,1.12
Muscat,20,OM,1568603005,88,23.6,58.55,82.4,2.24
Mana,96,NG,1568603140,73,13.03,5.27,78.71,7.52
Les Cayes,60,HT,1568603141,77,18.19,-73.75,84.83,7.85
Smidovich,32,RU,1568603141,44,48.6,133.81,57.47,13.94
Klaksvik,33,FO,1568603141,75,62.23,-6.59,46.4,14.99
Comodoro Rivadavia,0,AR,1568603082,60,-45.87,-67.48,41.0,9.17
Nogliki,22,RU,1568603142,47,51.8,143.14,67.91,14.99
Palembang,95,ID,1568603142,44,-2.99,104.76,89.15,6.58
Nishihara,90,JP,1568603142,100,35.74,139.53,77.0,10.29
Geraldton,75,CA,1568603142,82,49.72,-86.95,55.4,8.05
Ucluelet,43,CA,1568602873,91,48.94,-125.55,57.99,9.98
Samarai,100,PG,1568603142,73,-10.62,150.67,77.09,9.89
Pallasovka,78,RU,1568603143,56,50.04,46.89,50.81,9.35
Sabzevar,0,IR,1568603022,30,36.21,57.68,59.81,5.06
Vaitape,90,PF,1568603143,76,-16.52,-151.75,76.91,15.48
Ganzhou,0,CN,1568603143,67,25.86,114.93,84.11,8.72
Vao,97,EE,1568603144,89,59.1,26.19,48.47,11.83
Losevo,0,RU,1568603144,50,51.73,38.83,53.6,8.95
Ulety,83,RU,1568603144,51,51.36,112.48,50.63,13.76
Faratsiho,0,MG,1568603144,69,-19.41,46.95,58.73,3.71
Adelaide,75,AU,1568603125,50,-34.93,138.6,61.0,18.34
Dzhankoy,62,UA,1568603145,53,45.71,34.39,58.73,3.6
Griffin,1,US,1568603107,57,33.25,-84.26,78.8,3.36
San Rafael,67,AR,1568603145,55,-34.61,-68.33,45.59,15.75
Ordubad,20,AZ,1568603145,72,38.91,46.02,60.8,9.17
Mnogovershinnyy,100,RU,1568603145,88,53.94,139.92,46.13,4.65
Praia da Vitoria,40,PT,1568603146,88,38.73,-27.07,69.8,14.12
Asyut,0,EG,1568603146,70,27.18,31.19,70.79,8.79
Salalah,75,OM,1568603146,88,17.01,54.1,78.8,4.7
Inuvik,20,CA,1568603146,61,68.36,-133.71,46.4,12.75
Kirakira,100,SB,1568603146,85,-10.46,161.92,79.79,9.17
Mehamn,100,NO,1568603147,91,71.03,27.85,42.71,21.09
Lethem,90,GY,1568602987,71,3.38,-59.8,82.67,1.74
Balkanabat,25,TM,1568603147,29,39.51,54.36,72.95,4.14
Hwange,0,ZW,1568603147,23,-18.35,26.5,62.15,5.5
Walvis Bay,0,NA,1568603147,87,-22.95,14.51,54.0,2.24
Ligayan,56,PH,1568603148,73,4.65,119.47,81.59,7.63
Guanare,38,VE,1568603148,87,9.04,-69.74,72.95,2.17
Darhan,8,MN,1568603148,40,49.49,105.92,58.37,9.73
Hay River,90,CA,1568603148,71,60.82,-115.79,50.0,2.24
Broken Hill,56,AU,1568603148,46,-31.97,141.45,69.8,17.22
Skjervoy,100,NO,1568603149,63,70.03,20.97,46.31,6.2
Tessalit,0,ML,1568603149,17,20.2,1.01,91.13,11.5
Mondovi,1,US,1568603149,93,44.57,-91.67,66.99,1.92
Rawson,0,AR,1568603149,51,-43.3,-65.11,43.43,10.58
Ahipara,0,NZ,1568603150,81,-35.17,173.16,66.99,9.33
Porto Velho,20,BR,1568603150,74,-8.75,-63.87,82.4,2.24
Mitchell,1,US,1568603150,73,43.71,-98.03,75.2,11.41
Ulagan,0,RU,1568603150,58,50.63,87.96,45.59,2.98
Novyy Urengoy,100,RU,1568603110,99,66.08,76.63,35.69,16.22
Bernalillo,90,US,1568603150,100,35.3,-106.55,64.4,5.08
Gladstone,0,AU,1568602935,50,-23.84,151.26,77.0,11.41
Saint-Augustin,75,CA,1568603151,76,45.63,-73.98,59.0,3.36
Ginir,78,ET,1568603151,87,7.14,40.71,58.91,4.99
Santa Isabel do Rio Negro,72,BR,1568603151,96,-0.41,-65.02,74.21,2.35
Tucurui,0,BR,1568603151,66,-3.77,-49.67,78.89,1.43
Amherst,90,US,1568603152,88,42.98,-78.8,66.0,4.7
Arona,0,IT,1568603152,100,45.76,8.56,71.01,4.7
Nome,1,US,1568603152,69,30.04,-94.42,82.4,3.36
Shingu,20,JP,1568603152,62,33.72,135.99,86.0,16.11
Guangshui,67,CN,1568603153,56,31.62,113.82,75.65,11.05
Huanren,0,CN,1568603153,48,41.26,125.37,64.85,6.98
Ngawen,4,ID,1568603153,37,-7.02,111.3,89.87,10.87
Coihaique,0,CL,1568603153,69,-45.58,-72.07,39.2,2.24
San Lorenzo,100,HN,1568603153,94,13.43,-87.45,76.73,2.64
Barra do Garcas,0,BR,1568603154,26,-15.89,-52.26,76.91,4.27
Husavik,37,CA,1568603154,53,50.56,-96.99,69.01,8.77
Sao Filipe,95,CV,1568603154,85,14.9,-24.5,80.33,17.05
Taltal,0,CL,1568603154,84,-25.41,-70.49,49.55,1.95
Sile,90,US,1568603155,100,35.56,-106.37,64.4,4.5
Waingapu,0,ID,1568603155,42,-9.65,120.26,83.03,12.21
Teahupoo,40,PF,1568603155,65,-17.83,-149.27,78.8,9.17
Girov,0,RO,1568603155,87,46.96,26.5,52.0,1.12
Stiring-Wendel,0,DE,1568603156,87,49.2,6.93,59.0,3.36
Mayo,75,CA,1568603156,44,63.59,-135.9,59.0,8.05
Brae,92,GB,1568603156,81,60.4,-1.35,51.8,14.99
Tumsar,100,IN,1568603156,87,21.38,79.75,76.55,5.26
College,90,US,1568603156,42,64.86,-147.8,64.4,4.7
Touros,40,BR,1568603157,94,-5.2,-35.46,73.4,4.7
Kamenka,12,MD,1568603157,59,48.03,28.7,51.53,3.38
Nyagan,25,RU,1568603157,81,62.14,65.43,48.11,7.0
